po_id,sku_id,supplier_id,po_date,is_weekend_po,quantity_ordered,total_value_inr,expected_delivery_date,actual_delivery_date,delivered_on_time,days_late,quantity_delivered,quality_status,payment_status
PO-003733,SKU-00145,SUP-0003,2023-09-23,1,70,1772707.7,2023-10-21,2023-10-28,0,7,65,Accepted,Overdue
PO-003734,SKU-00207,SUP-0047,2024-11-25,0,218,3313984.31,2024-11-29,2024-11-30,0,1,208,Accepted,Paid
PO-003735,SKU-00130,SUP-0102,2023-01-16,0,2357,94847.49,2023-01-26,2023-01-25,1,0,2313,Accepted,Paid
PO-003736,SKU-00476,SUP-0065,2023-04-16,1,308,164450.01,2023-05-02,2023-05-05,0,3,304,Accepted,Paid
PO-003737,SKU-00254,SUP-0015,2023-08-14,0,4088,10988507.44,2023-09-09,2023-09-08,1,0,3797,Accepted,Paid
PO-003738,SKU-00141,SUP-0054,2024-01-23,0,832,865427.28,2024-02-11,2024-02-12,0,1,792,Partially Rejected,Paid
PO-003739,SKU-00005,SUP-0146,2024-07-03,0,2496,111844268.69,2024-07-25,2024-07-24,1,0,2267,Accepted,Paid
PO-003740,SKU-00233,SUP-0055,2024-05-28,0,721,99014.63,2024-06-18,2024-06-15,1,0,711,Accepted,Pending
PO-003741,SKU-00438,SUP-0085,2023-01-20,0,24,2229.14,2023-02-03,2023-02-04,0,1,22,Fully Rejected,Paid
PO-003742,SKU-00499,SUP-0197,2024-05-20,0,181,16744.99,2024-05-30,2024-05-29,1,0,180,Accepted,Paid
PO-003743,SKU-00307,SUP-0022,2024-07-12,0,84,2579215.89,2024-08-06,2024-08-04,1,0,78,Accepted,Paid
PO-003744,SKU-00049,SUP-0167,2024-10-14,0,1515,4525710.04,2024-11-07,2024-11-10,0,3,1507,Accepted,Pending
PO-003745,SKU-00390,SUP-0044,2024-03-21,0,459,21892567.43,2024-04-12,2024-04-11,1,0,441,Partially Rejected,Paid
PO-003746,SKU-00495,SUP-0155,2024-05-01,0,489,317906.74,2024-05-09,2024-05-08,1,0,441,Accepted,Pending
PO-003747,SKU-00350,SUP-0200,2024-08-28,0,1589,566137.69,2024-09-18,2024-09-19,0,1,1472,Accepted,Pending
PO-003748,SKU-00083,SUP-0122,2023-03-27,0,1192,129510.69,2023-04-19,2023-04-19,1,0,1119,Accepted,Pending
PO-003749,SKU-00021,SUP-0102,2024-11-25,0,53,470947.67,2024-12-05,2024-12-04,1,0,49,Accepted,Paid
PO-003750,SKU-00161,SUP-0117,2024-01-16,0,175,12489.66,2024-02-01,2024-02-01,1,0,170,Accepted,Pending
PO-003751,SKU-00307,SUP-0022,2024-10-21,0,37,1141973.06,2024-11-15,2024-11-13,1,0,33,Accepted,Paid
PO-003752,SKU-00060,SUP-0134,2024-01-30,0,70,48147.34,2024-03-05,2024-03-04,1,0,69,Accepted,Paid
PO-003753,SKU-00323,SUP-0065,2024-12-10,0,77,191558.44,2024-12-26,2024-12-25,1,0,71,Accepted,Pending
PO-003754,SKU-00371,SUP-0063,2023-10-24,0,366,128223.4,2023-11-01,2023-11-02,0,1,359,Accepted,Paid
PO-003755,SKU-00362,SUP-0105,2023-10-15,1,57,22952.8,2023-11-11,2023-11-18,0,7,56,Accepted,Paid
PO-003756,SKU-00315,SUP-0103,2023-11-09,0,204,186733.14,2023-11-27,2023-11-27,1,0,188,Accepted,Paid
PO-003757,SKU-00160,SUP-0106,2023-05-15,0,57,100679.41,2023-06-02,2023-06-03,0,1,54,Partially Rejected,Paid
PO-003758,SKU-00401,SUP-0125,2024-11-08,0,146,15618.9,2024-11-20,2024-11-19,1,0,143,Accepted,Paid
PO-003759,SKU-00373,SUP-0001,2024-02-25,1,1798,957145.24,2024-04-07,2024-04-14,0,7,1782,Accepted,Paid
PO-003760,SKU-00381,SUP-0185,2023-09-17,1,1434,239973.52,2023-10-08,2023-10-12,0,4,1405,Accepted,Paid
PO-003761,SKU-00091,SUP-0024,2023-09-24,1,100,12523.77,2023-10-25,2023-10-31,0,6,96,Accepted,Paid
PO-003762,SKU-00168,SUP-0134,2023-12-06,0,719,4035497.01,2024-01-10,2024-01-09,1,0,664,Partially Rejected,Pending
PO-003763,SKU-00010,SUP-0035,2024-04-26,0,2477,1033927.06,2024-05-24,2024-05-24,1,0,2350,Accepted,Paid
PO-003764,SKU-00401,SUP-0125,2024-06-23,1,58,6225.5,2024-07-05,2024-07-07,0,2,56,Accepted,Pending
PO-003765,SKU-00293,SUP-0183,2024-11-06,0,236,10364349.7,2024-11-12,2024-11-12,1,0,228,Accepted,Paid
PO-003766,SKU-00366,SUP-0187,2023-10-26,0,47,3767.55,2023-11-11,2023-11-12,0,1,42,Accepted,Paid
PO-003767,SKU-00391,SUP-0123,2023-10-28,1,2658,8453821.31,2023-11-07,2023-11-10,0,3,2482,Accepted,Paid
PO-003768,SKU-00409,SUP-0156,2023-04-03,0,1249,173651.79,2023-04-23,2023-04-24,0,1,1228,Accepted,Pending
PO-003769,SKU-00103,SUP-0055,2023-06-07,0,415,327928.16,2023-06-28,2023-06-25,1,0,410,Accepted,Overdue
PO-003770,SKU-00321,SUP-0100,2023-08-15,0,3621,135844.47,2023-09-16,2023-09-17,0,1,3352,Accepted,Paid
PO-003771,SKU-00426,SUP-0101,2023-07-24,0,457,26426.37,2023-08-08,2023-08-10,0,2,442,Accepted,Paid
PO-003772,SKU-00066,SUP-0111,2024-11-06,0,829,662193.52,2024-11-22,2024-11-23,0,1,799,Accepted,Paid
PO-003773,SKU-00165,SUP-0149,2023-10-18,0,518,555059.41,2023-11-03,2023-11-02,1,0,505,Accepted,Pending
PO-003774,SKU-00330,SUP-0170,2024-09-04,0,863,3584213.42,2024-09-18,2024-09-19,0,1,777,Accepted,Paid
PO-003775,SKU-00056,SUP-0119,2023-02-28,0,53,69561.36,2023-03-13,2023-03-14,0,1,52,Accepted,Paid
PO-003776,SKU-00406,SUP-0085,2024-09-06,0,383,291224.08,2024-09-20,2024-09-21,0,1,366,Accepted,Paid
PO-003777,SKU-00268,SUP-0142,2024-11-19,0,200,328823.21,2024-12-16,2024-12-18,0,2,187,Accepted,Pending
PO-003778,SKU-00162,SUP-0102,2024-11-06,0,2125,9777370.31,2024-11-16,2024-11-14,1,0,1967,Accepted,Paid
PO-003779,SKU-00007,SUP-0009,2023-07-17,0,459,42699.59,2023-08-11,2023-08-13,0,2,430,Accepted,Paid
PO-003780,SKU-00338,SUP-0042,2023-04-18,0,124,102804.1,2023-05-04,2023-05-02,1,0,123,Accepted,Paid
PO-003781,SKU-00227,SUP-0031,2024-02-12,0,129,500899.14,2024-02-29,2024-03-01,0,1,122,Accepted,Paid
PO-003782,SKU-00456,SUP-0151,2023-03-20,0,4872,279524.21,2023-04-08,2023-04-10,0,2,4642,Accepted,Overdue
PO-003783,SKU-00362,SUP-0105,2023-03-05,1,69,28180.47,2023-04-01,2023-04-07,0,6,63,Accepted,Paid
PO-003784,SKU-00387,SUP-0032,2023-09-28,0,3613,280203.26,2023-10-10,2023-10-11,0,1,3340,Accepted,Paid
PO-003785,SKU-00228,SUP-0001,2023-03-09,0,992,1069334.95,2023-04-20,2023-04-22,0,2,926,Accepted,Paid
PO-003786,SKU-00332,SUP-0158,2023-12-01,0,4823,2863903.87,2023-12-17,2023-12-19,0,2,4787,Accepted,Paid
PO-003787,SKU-00367,SUP-0178,2023-10-14,1,345,595945.04,2023-10-26,2023-10-29,0,3,337,Partially Rejected,Overdue
PO-003788,SKU-00189,SUP-0081,2024-12-16,0,185,8647795.87,2025-01-12,2025-01-10,1,0,173,Accepted,Paid
PO-003789,SKU-00180,SUP-0180,2023-04-02,1,207,11788.3,2023-05-03,2023-05-11,0,8,191,Accepted,Paid
PO-003790,SKU-00194,SUP-0131,2023-10-19,0,481,444879.79,2023-10-24,2023-10-23,1,0,452,Accepted,Pending
PO-003791,SKU-00412,SUP-0195,2024-06-06,0,175,940417.99,2024-06-21,2024-06-20,1,0,161,Accepted,Paid
PO-003792,SKU-00020,SUP-0163,2023-07-15,1,2010,16308916.7,2023-07-25,2023-07-28,0,3,1841,Accepted,Paid
PO-003793,SKU-00498,SUP-0200,2024-11-25,0,694,7856684.18,2024-12-16,2024-12-18,0,2,643,Accepted,Paid
PO-003794,SKU-00424,SUP-0045,2024-04-10,0,1484,2395650.4,2024-04-28,2024-04-30,0,2,1468,Accepted,Paid
PO-003795,SKU-00031,SUP-0003,2024-07-03,0,932,16359522.67,2024-07-31,2024-08-04,0,4,845,Accepted,Paid
PO-003796,SKU-00333,SUP-0078,2023-08-29,0,71,2124.82,2023-10-01,2023-09-26,1,0,70,Accepted,Paid
PO-003797,SKU-00315,SUP-0103,2023-06-10,1,233,194519.72,2023-06-28,2023-07-02,0,4,220,Accepted,Pending
PO-003798,SKU-00276,SUP-0097,2024-05-11,1,125,473.47,2024-06-21,2024-06-29,0,8,119,Accepted,Paid
PO-003799,SKU-00269,SUP-0139,2023-01-30,0,665,497184.25,2023-02-10,2023-02-11,0,1,650,Accepted,Paid
PO-003800,SKU-00463,SUP-0059,2023-03-11,1,178,1319.23,2023-03-23,2023-03-26,0,3,170,Accepted,Paid
PO-003801,SKU-00495,SUP-0155,2023-06-15,0,557,355961.91,2023-06-23,2023-06-22,1,0,520,Accepted,Paid
PO-003802,SKU-00068,SUP-0031,2023-02-14,0,757,25278.29,2023-03-03,2023-03-03,1,0,705,Partially Rejected,Paid
PO-003803,SKU-00409,SUP-0156,2024-10-18,0,2354,317025.42,2024-11-07,2024-11-07,1,0,2336,Accepted,Paid
PO-003804,SKU-00229,SUP-0044,2023-03-26,1,22,7591.77,2023-04-17,2023-04-22,0,5,20,Accepted,Paid
PO-003805,SKU-00220,SUP-0108,2024-08-08,0,1822,672945.5,2024-08-13,2024-08-12,1,0,1662,Accepted,Pending
PO-003806,SKU-00037,SUP-0082,2023-09-24,1,575,1902063.57,2023-10-06,2023-10-08,0,2,547,Accepted,Paid
PO-003807,SKU-00300,SUP-0170,2023-06-02,0,898,13509337.83,2023-06-16,2023-06-15,1,0,845,Accepted,Paid
PO-003808,SKU-00222,SUP-0019,2024-10-16,0,943,42182392.98,2024-10-27,2024-10-26,1,0,868,Partially Rejected,Paid
PO-003809,SKU-00052,SUP-0050,2023-09-12,0,486,3397545.67,2023-10-26,2023-10-31,0,5,445,Accepted,Paid
PO-003810,SKU-00129,SUP-0003,2023-02-08,0,1267,2187996.7,2023-03-08,2023-03-11,0,3,1241,Accepted,Paid
PO-003811,SKU-00230,SUP-0150,2024-01-19,0,132,49762.48,2024-02-08,2024-02-05,1,0,127,Accepted,Paid
PO-003812,SKU-00463,SUP-0059,2024-07-12,0,409,3122.83,2024-07-24,2024-07-24,1,0,390,Accepted,Overdue
PO-003813,SKU-00462,SUP-0185,2023-11-15,0,2578,9783661.55,2023-12-06,2023-12-05,1,0,2577,Accepted,Paid
PO-003814,SKU-00050,SUP-0086,2023-01-26,0,35,2034.47,2023-02-19,2023-02-22,0,3,33,Accepted,Paid
PO-003815,SKU-00072,SUP-0151,2023-07-28,0,1663,163701.96,2023-08-16,2023-08-17,0,1,1524,Accepted,Pending
PO-003816,SKU-00008,SUP-0046,2023-08-21,0,1316,2934239.61,2023-08-30,2023-08-29,1,0,1193,Accepted,Paid
PO-003817,SKU-00024,SUP-0031,2024-05-11,1,300,10213.98,2024-05-28,2024-06-01,0,4,281,Accepted,Pending
PO-003818,SKU-00051,SUP-0141,2024-10-25,0,4241,12686991.21,2024-11-06,2024-11-06,1,0,4012,Accepted,Paid
PO-003819,SKU-00187,SUP-0140,2024-05-07,0,249,52057.63,2024-06-04,2024-06-02,1,0,224,Accepted,Pending
PO-003820,SKU-00035,SUP-0196,2024-07-27,1,2267,710845.63,2024-08-12,2024-08-14,0,2,2126,Accepted,Paid
PO-003821,SKU-00281,SUP-0167,2023-04-17,0,228,1067462.32,2023-05-11,2023-05-08,1,0,215,Partially Rejected,Paid
PO-003822,SKU-00376,SUP-0045,2023-12-12,0,938,540810.89,2023-12-30,2023-12-28,1,0,850,Accepted,Paid
PO-003823,SKU-00235,SUP-0134,2023-07-21,0,177,76542.71,2023-08-25,2023-08-26,0,1,159,Accepted,Overdue
PO-003824,SKU-00081,SUP-0193,2023-05-14,1,2259,910166.91,2023-05-25,2023-05-29,0,4,2052,Accepted,Paid
PO-003825,SKU-00488,SUP-0192,2023-01-31,0,147,276066.88,2023-02-28,2023-02-24,1,0,137,Accepted,Pending
PO-003826,SKU-00058,SUP-0151,2023-11-11,1,934,7957612.32,2023-11-30,2023-12-03,0,3,919,Accepted,Paid
PO-003827,SKU-00003,SUP-0081,2023-04-06,0,1054,4908374.52,2023-05-03,2023-04-29,1,0,1009,Accepted,Paid
PO-003828,SKU-00280,SUP-0123,2024-11-16,1,1837,2181607.06,2024-11-26,2024-11-28,0,2,1769,Accepted,Paid
PO-003829,SKU-00056,SUP-0119,2023-06-30,0,20,28032.09,2023-07-13,2023-07-12,1,0,18,Accepted,Paid
PO-003830,SKU-00122,SUP-0173,2024-02-29,0,154,1215828.05,2024-03-30,2024-04-01,0,2,143,Accepted,Paid
PO-003831,SKU-00204,SUP-0152,2024-10-08,0,1305,9326520.64,2024-11-05,2024-11-02,1,0,1299,Accepted,Paid
PO-003832,SKU-00465,SUP-0146,2024-12-22,1,1464,3110643.97,2025-01-13,2025-01-19,0,6,1362,Accepted,Paid
PO-003833,SKU-00404,SUP-0007,2024-05-22,0,192,424253.43,2024-06-01,2024-05-31,1,0,173,Accepted,Paid
PO-003834,SKU-00178,SUP-0104,2024-06-24,0,774,5648657.56,2024-07-01,2024-07-01,1,0,715,Accepted,Pending
PO-003835,SKU-00422,SUP-0199,2023-08-07,0,2985,92012.42,2023-08-16,2023-08-16,1,0,2978,Accepted,Paid
PO-003836,SKU-00067,SUP-0102,2024-05-28,0,3286,10801472.24,2024-06-07,2024-06-05,1,0,3056,Accepted,Paid
PO-003837,SKU-00274,SUP-0197,2024-09-11,0,891,961789.2,2024-09-21,2024-09-21,1,0,848,Partially Rejected,Paid
PO-003838,SKU-00468,SUP-0178,2024-05-13,0,83,1251664.11,2024-05-25,2024-05-26,0,1,76,Accepted,Pending
PO-003839,SKU-00139,SUP-0173,2024-05-04,1,75,366244.76,2024-06-03,2024-06-08,0,5,70,Accepted,Paid
PO-003840,SKU-00296,SUP-0124,2023-10-15,1,1152,1164270.39,2023-10-27,2023-10-29,0,2,1112,Accepted,Paid
PO-003841,SKU-00429,SUP-0191,2023-02-03,0,851,57040.16,2023-02-15,2023-02-14,1,0,793,Accepted,Paid
PO-003842,SKU-00471,SUP-0182,2024-03-11,0,111,789169.0,2024-03-22,2024-03-23,0,1,110,Accepted,Paid
PO-003843,SKU-00011,SUP-0163,2023-11-12,1,46,44089.32,2023-11-22,2023-11-25,0,3,44,Accepted,Pending
PO-003844,SKU-00241,SUP-0055,2023-04-01,1,4770,143685205.22,2023-04-22,2023-04-27,0,5,4632,Accepted,Paid
PO-003845,SKU-00303,SUP-0190,2023-07-24,0,886,942473.06,2023-08-05,2023-08-06,0,1,815,Accepted,Paid
PO-003846,SKU-00485,SUP-0025,2023-11-11,1,2802,16966957.28,2023-11-25,2023-11-28,0,3,2639,Accepted,Paid
PO-003847,SKU-00421,SUP-0085,2024-11-07,0,2413,869203.4,2024-11-21,2024-11-19,1,0,2394,Fully Rejected,Paid
PO-003848,SKU-00084,SUP-0129,2023-01-17,0,3468,275032.79,2023-02-13,2023-02-14,0,1,3149,Accepted,Paid
PO-003849,SKU-00478,SUP-0193,2024-07-16,0,188,21004.53,2024-07-27,2024-07-26,1,0,187,Accepted,Overdue
PO-003850,SKU-00174,SUP-0109,2023-07-04,0,161,549999.6,2023-08-05,2023-08-07,0,2,155,Accepted,Paid
PO-003851,SKU-00313,SUP-0001,2024-08-07,0,518,481727.15,2024-09-18,2024-09-12,1,0,481,Accepted,Paid
PO-003852,SKU-00108,SUP-0078,2024-03-13,0,742,55315.01,2024-04-15,2024-04-14,1,0,700,Accepted,Paid
PO-003853,SKU-00354,SUP-0058,2024-06-02,1,1181,36375154.37,2024-07-07,2024-07-15,0,8,1082,Accepted,Paid
PO-003854,SKU-00033,SUP-0080,2024-09-18,0,216,5108143.1,2024-10-10,2024-10-11,0,1,215,Accepted,Paid
PO-003855,SKU-00287,SUP-0023,2023-05-06,1,13,1173.41,2023-05-25,2023-05-29,0,4,11,Accepted,Pending
PO-003856,SKU-00022,SUP-0083,2024-09-07,1,253,1040911.23,2024-09-23,2024-09-27,0,4,232,Accepted,Paid
PO-003857,SKU-00253,SUP-0058,2023-01-22,1,210,885010.92,2023-02-26,2023-03-08,0,10,207,Accepted,Paid
PO-003858,SKU-00287,SUP-0023,2024-11-25,0,69,5789.57,2024-12-14,2024-12-16,0,2,62,Accepted,Paid
PO-003859,SKU-00372,SUP-0042,2023-08-09,0,232,248836.41,2023-08-25,2023-08-25,1,0,230,Accepted,Overdue
PO-003860,SKU-00233,SUP-0055,2023-08-14,0,1048,137090.98,2023-09-04,2023-09-02,1,0,998,Accepted,Pending
PO-003861,SKU-00056,SUP-0119,2023-04-24,0,39,54695.48,2023-05-07,2023-05-06,1,0,38,Accepted,Pending
PO-003862,SKU-00110,SUP-0115,2024-01-20,1,667,25330.27,2024-01-31,2024-02-03,0,3,612,Accepted,Paid
PO-003863,SKU-00281,SUP-0167,2024-10-04,0,44,205856.22,2024-10-28,2024-10-26,1,0,42,Accepted,Pending
PO-003864,SKU-00405,SUP-0071,2024-09-22,1,42,548.78,2024-09-29,2024-09-30,0,1,39,Accepted,Pending
PO-003865,SKU-00381,SUP-0185,2023-05-26,0,1104,173706.46,2023-06-16,2023-06-13,1,0,1088,Accepted,Pending
PO-003866,SKU-00207,SUP-0047,2024-02-24,1,220,3597111.34,2024-02-28,2024-02-29,0,1,219,Accepted,Paid
PO-003867,SKU-00047,SUP-0091,2024-07-19,0,465,205254.43,2024-08-01,2024-07-31,1,0,448,Accepted,Pending
PO-003868,SKU-00446,SUP-0053,2023-06-19,0,485,60691.43,2023-07-21,2023-07-18,1,0,446,Accepted,Paid
PO-003869,SKU-00349,SUP-0118,2023-09-14,0,83,701020.1,2023-09-22,2023-09-22,1,0,75,Accepted,Overdue
PO-003870,SKU-00142,SUP-0141,2024-05-07,0,1775,507176.57,2024-05-19,2024-05-18,1,0,1674,Accepted,Paid
PO-003871,SKU-00072,SUP-0151,2024-08-24,1,1194,124158.56,2024-09-12,2024-09-18,0,6,1126,Accepted,Pending
PO-003872,SKU-00204,SUP-0152,2024-09-23,0,2348,16083249.84,2024-10-21,2024-10-20,1,0,2238,Accepted,Paid
PO-003873,SKU-00407,SUP-0107,2023-07-02,1,1495,2083813.82,2023-07-14,2023-07-16,0,2,1415,Accepted,Paid
PO-003874,SKU-00338,SUP-0042,2023-05-27,1,176,135902.86,2023-06-12,2023-06-16,0,4,159,Accepted,Pending
PO-003875,SKU-00226,SUP-0082,2023-09-25,0,78,213405.24,2023-10-07,2023-10-05,1,0,77,Partially Rejected,Pending
PO-003876,SKU-00049,SUP-0167,2024-07-03,0,4133,12206026.59,2024-07-27,2024-07-27,1,0,3923,Accepted,Paid
PO-003877,SKU-00181,SUP-0116,2023-01-18,0,1710,903045.83,2023-02-09,2023-02-07,1,0,1564,Accepted,Paid
PO-003878,SKU-00436,SUP-0036,2023-01-20,0,714,4711344.29,2023-01-29,2023-01-30,0,1,647,Accepted,Paid
PO-003879,SKU-00042,SUP-0055,2023-01-28,1,231,9655058.64,2023-02-18,2023-02-22,0,4,214,Accepted,Paid
PO-003880,SKU-00223,SUP-0037,2024-03-07,0,158,709869.61,2024-04-03,2024-04-03,1,0,148,Accepted,Paid
PO-003881,SKU-00022,SUP-0083,2024-09-22,1,198,760174.22,2024-10-08,2024-10-12,0,4,197,Accepted,Paid
PO-003882,SKU-00462,SUP-0185,2023-03-29,0,2497,9191647.64,2023-04-19,2023-04-22,0,3,2304,Partially Rejected,Paid
PO-003883,SKU-00259,SUP-0088,2024-11-03,1,2656,1842204.1,2024-11-15,2024-11-18,0,3,2623,Accepted,Overdue
PO-003884,SKU-00050,SUP-0086,2023-08-13,1,19,1054.71,2023-09-06,2023-09-10,0,4,17,Accepted,Overdue
PO-003885,SKU-00272,SUP-0032,2024-06-08,1,275,2200128.41,2024-06-20,2024-06-23,0,3,248,Accepted,Pending
PO-003886,SKU-00106,SUP-0009,2024-02-15,0,73,341981.98,2024-03-11,2024-03-10,1,0,72,Accepted,Paid
PO-003887,SKU-00310,SUP-0054,2024-01-22,0,1628,1300738.24,2024-02-10,2024-02-10,1,0,1482,Accepted,Paid
PO-003888,SKU-00007,SUP-0009,2023-11-06,0,997,89124.8,2023-12-01,2023-12-04,0,3,904,Accepted,Paid
PO-003889,SKU-00166,SUP-0127,2023-03-06,0,2294,13514788.46,2023-03-10,2023-03-10,1,0,2270,Accepted,Paid
PO-003890,SKU-00276,SUP-0097,2024-12-24,0,233,877.66,2025-02-03,2025-02-02,1,0,212,Accepted,Paid
PO-003891,SKU-00482,SUP-0075,2023-03-16,0,3277,11420101.02,2023-04-14,2023-04-15,0,1,3052,Accepted,Pending
PO-003892,SKU-00281,SUP-0167,2023-09-13,0,166,817827.94,2023-10-07,2023-10-09,0,2,160,Accepted,Paid
PO-003893,SKU-00348,SUP-0165,2023-01-19,0,99,160788.93,2023-01-27,2023-01-28,0,1,90,Accepted,Paid
PO-003894,SKU-00036,SUP-0170,2024-07-29,0,55,328756.61,2024-08-12,2024-08-14,0,2,51,Accepted,Paid
PO-003895,SKU-00413,SUP-0098,2023-08-07,0,106,4252679.69,2023-09-09,2023-09-10,0,1,98,Accepted,Paid
PO-003896,SKU-00123,SUP-0106,2024-07-22,0,479,32752.03,2024-08-09,2024-08-11,0,2,474,Accepted,Paid
PO-003897,SKU-00069,SUP-0196,2023-04-15,1,56,1103775.41,2023-05-01,2023-05-03,0,2,52,Accepted,Paid
PO-003898,SKU-00469,SUP-0153,2024-11-07,0,346,1107117.79,2024-11-14,2024-11-14,1,0,318,Accepted,Paid
PO-003899,SKU-00227,SUP-0031,2023-04-13,0,231,887867.37,2023-04-30,2023-04-28,1,0,227,Accepted,Paid
PO-003900,SKU-00191,SUP-0046,2024-10-21,0,208,628237.62,2024-10-30,2024-10-30,1,0,199,Accepted,Paid
PO-003901,SKU-00144,SUP-0061,2024-12-05,0,1407,4064497.32,2025-01-11,2025-01-15,0,4,1393,Accepted,Paid
PO-003902,SKU-00183,SUP-0098,2023-03-28,0,1224,3491205.5,2023-04-30,2023-05-02,0,2,1159,Partially Rejected,Paid
PO-003903,SKU-00022,SUP-0083,2023-05-15,0,602,2478424.0,2023-05-31,2023-05-31,1,0,566,Partially Rejected,Paid
PO-003904,SKU-00283,SUP-0125,2024-12-22,1,826,3338683.34,2025-01-03,2025-01-06,0,3,773,Accepted,Paid
PO-003905,SKU-00046,SUP-0133,2024-04-09,0,154,4959.87,2024-04-20,2024-04-20,1,0,141,Accepted,Paid
PO-003906,SKU-00352,SUP-0027,2024-11-03,1,460,787756.31,2024-11-23,2024-11-26,0,3,431,Accepted,Paid
PO-003907,SKU-00327,SUP-0110,2024-03-03,1,530,2241848.02,2024-03-16,2024-03-18,0,2,479,Accepted,Paid
PO-003908,SKU-00044,SUP-0168,2024-06-23,1,2109,2938121.91,2024-07-04,2024-07-07,0,3,2062,Accepted,Pending
PO-003909,SKU-00024,SUP-0031,2023-09-16,1,335,12026.11,2023-10-03,2023-10-06,0,3,333,Accepted,Paid
PO-003910,SKU-00205,SUP-0077,2024-06-24,0,116,85635.59,2024-07-12,2024-07-11,1,0,113,Accepted,Pending
PO-003911,SKU-00334,SUP-0180,2024-08-25,1,767,4276.05,2024-09-25,2024-09-30,0,5,745,Accepted,Pending
PO-003912,SKU-00293,SUP-0183,2024-11-13,0,209,9085454.42,2024-11-19,2024-11-20,0,1,199,Accepted,Paid
PO-003913,SKU-00425,SUP-0028,2024-09-02,0,77,335633.78,2024-09-27,2024-09-26,1,0,70,Accepted,Paid
PO-003914,SKU-00162,SUP-0102,2023-07-17,0,507,2176105.54,2023-07-27,2023-07-25,1,0,480,Accepted,Pending
PO-003915,SKU-00152,SUP-0121,2023-03-02,0,40,1864441.26,2023-03-09,2023-03-08,1,0,38,Accepted,Paid
PO-003916,SKU-00067,SUP-0102,2023-02-28,0,1533,5177065.12,2023-03-10,2023-03-09,1,0,1467,Fully Rejected,Paid
PO-003917,SKU-00202,SUP-0156,2024-08-17,1,87,80838.9,2024-09-06,2024-09-11,0,5,84,Accepted,Paid
PO-003918,SKU-00066,SUP-0111,2023-10-04,0,205,160256.2,2023-10-20,2023-10-21,0,1,189,Accepted,Paid
PO-003919,SKU-00144,SUP-0061,2024-06-14,0,859,2433415.18,2024-07-21,2024-07-18,1,0,847,Accepted,Paid
PO-003920,SKU-00069,SUP-0196,2023-09-25,0,179,3347231.96,2023-10-11,2023-10-12,0,1,174,Accepted,Paid
PO-003921,SKU-00290,SUP-0196,2023-07-09,1,550,5011093.66,2023-07-25,2023-07-27,0,2,501,Accepted,Paid
PO-003922,SKU-00457,SUP-0167,2024-10-27,1,418,844888.09,2024-11-20,2024-11-24,0,4,400,Accepted,Paid
PO-003923,SKU-00404,SUP-0007,2024-09-09,0,51,117621.89,2024-09-19,2024-09-19,1,0,47,Fully Rejected,Paid
PO-003924,SKU-00008,SUP-0046,2023-12-27,0,417,939289.3,2024-01-05,2024-01-05,1,0,397,Accepted,Paid
PO-003925,SKU-00063,SUP-0055,2024-09-25,0,130,701053.44,2024-10-16,2024-10-17,0,1,126,Accepted,Overdue
PO-003926,SKU-00271,SUP-0037,2023-06-13,0,795,226112.59,2023-07-10,2023-07-12,0,2,720,Accepted,Paid
PO-003927,SKU-00124,SUP-0149,2023-02-01,0,1518,48816.9,2023-02-17,2023-02-17,1,0,1372,Accepted,Pending
PO-003928,SKU-00085,SUP-0033,2024-06-23,1,4639,24490983.49,2024-07-15,2024-07-20,0,5,4599,Accepted,Paid
PO-003929,SKU-00235,SUP-0134,2024-01-30,0,93,39747.7,2024-03-05,2024-03-06,0,1,85,Accepted,Pending
PO-003930,SKU-00424,SUP-0045,2024-04-29,0,2042,3444392.35,2024-05-17,2024-05-16,1,0,1885,Accepted,Paid
PO-003931,SKU-00451,SUP-0008,2024-07-18,0,71,2107724.9,2024-07-26,2024-07-26,1,0,65,Accepted,Paid
PO-003932,SKU-00203,SUP-0162,2024-12-24,0,254,18208.23,2025-01-10,2025-01-07,1,0,247,Accepted,Paid
PO-003933,SKU-00096,SUP-0114,2023-01-05,0,1007,49616.66,2023-01-14,2023-01-13,1,0,919,Accepted,Paid
PO-003934,SKU-00102,SUP-0165,2024-12-21,1,2846,97286.4,2024-12-29,2024-12-30,0,1,2755,Accepted,Paid
PO-003935,SKU-00449,SUP-0160,2023-09-01,0,96,447261.21,2023-09-15,2023-09-16,0,1,89,Accepted,Paid
PO-003936,SKU-00377,SUP-0102,2024-04-09,0,56,2472.71,2024-04-19,2024-04-18,1,0,54,Accepted,Pending
PO-003937,SKU-00419,SUP-0041,2023-12-18,0,158,1177077.25,2023-12-28,2023-12-27,1,0,150,Partially Rejected,Paid
PO-003938,SKU-00482,SUP-0075,2024-12-31,0,879,3167135.12,2025-01-29,2025-01-30,0,1,823,Accepted,Paid
PO-003939,SKU-00439,SUP-0169,2023-07-04,0,1580,350437.15,2023-08-12,2023-08-10,1,0,1552,Accepted,Pending
PO-003940,SKU-00375,SUP-0084,2023-12-21,0,204,837314.04,2024-01-08,2024-01-07,1,0,195,Accepted,Paid
PO-003941,SKU-00358,SUP-0010,2023-12-03,1,81,17317.9,2023-12-18,2023-12-22,0,4,79,Fully Rejected,Pending
